filename,gender,age,race
000269.png,1,3,5
000270.png,1,3,6
000271.png,0,5,3
000272.png,0,4,1
000273.png,0,4,2
000274.png,0,2,2
000275.png,0,1,2
000277.png,1,1,3
000278.png,1,3,5
000279.png,0,4,3
000280.png,0,4,1
000281.png,1,5,2
000283.png,1,2,5
000285.png,0,3,6
000286.png,0,1,2
000288.png,1,4,2
000289.png,0,2,0
000290.png,0,6,5
000291.png,1,3,3
000292.png,0,2,2
000293.png,1,1,6
000294.png,0,4,5
000296.png,1,4,6
000297.png,0,3,3
000299.png,1,1,2
